"country","date","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","cumulative_cases","cumulative_cases_min","cumulative_cases_max","cumulative_cases_min2","cumulative_cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","cumulative_deaths","cumulative_deaths_min","cumulative_deaths_max","cumulative_deaths_min2","cumulative_deaths_max2","key","X","ifr","popt"
"GP",2021-05-25,38.6217648358812,0.000396410374642724,325.083441909667,0.0426543957964191,4.47745911699105,7772816.59401435,5141590.62469698,9761114.89420149,7082247.91066351,8580078.90336454,0,0.348914576528173,1.45915854140202e-05,3.24004196620809,0.00102078107647907,0.0688649912960119,34250.9777878216,22045.6449281066,46289.2906647412,30115.4031081753,38379.0203983084,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-26,38.6470216486768,0.000379194035387295,322.991983105276,0.0413325888171177,4.41681740309576,7772855.241036,5141911.32795894,9761114.89485358,7082251.99915184,8580078.95037186,0,0.339871282808126,1.35953952208831e-05,3.14482949659065,0.000961450612520755,0.0657795016370133,34251.3176591044,22047.1482087329,46289.2910655398,30115.4668241645,38379.0289694039,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-27,38.2356109983207,0.000357813351586201,318.22225762371,0.0396247826046444,4.28210657901634,7772893.476647,5142225.86279559,9761114.89546917,7082255.97116096,8580078.99529605,0,0.331003266532749,1.26636357547534e-05,3.05123094730274,0.000905297990556447,0.0628080258973175,34251.6486623709,22048.6045178269,46289.2914413681,30115.5279048103,38379.037092443,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-28,35.7560756737796,0.000317704415573642,297.236944025471,0.0355700692162565,3.90030724714889,7772929.23272267,5142521.80230313,9761114.89601555,7082259.58979004,8580079.03589184,0,0.322476467761023,1.18002784196628e-05,2.96123296877144,0.000852048774265217,0.0600127344381211,34251.9711388387,22050.0157390199,46289.2917939044,30115.5864691281,38379.0447933964,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-29,41.5247108633609,0.000365036709552349,341.878752348746,0.0411967302266998,4.47720656186464,7772970.75743353,5142848.34089149,9761114.89662888,7082263.80239552,8580079.08134249,0,0.314190238127065,1.09587440565796e-05,2.8737613173687,0.000802590013792193,0.0573477966459779,34252.2853290768,22051.3832717742,46289.2921245992,30115.7171599001,38379.0520943897,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-30,38.6370902847731,0.000321410275474794,315.575264588063,0.0367691997941676,4.09053241662642,7773009.39452382,5143154.42402793,9761114.89717046,7082267.6199454,8580079.12220164,0,0.306091762835412,1.0168490623141e-05,2.78700681152862,0.000756195519119367,0.0548046369183614,34252.5914208397,22052.7082345223,46289.2924347304,30115.862675014,38379.0590145945,"Mobility decrease",2,0.004405897,15176115
"GP",2021-05-31,33.4142998842009,0.000255929081167203,273.127373208217,0.0299082820578796,3.43296679251187,7773042.8088237,5143426.20099399,9761114.89761094,7082270.79928252,8580079.15631168,0,0.298199767929093,9.43355917589875e-06,2.70117423762812,0.000711797519780186,0.052374629075137,34252.8896206076,22053.9918427706,46289.2927255446,30116.0898825424,38379.0655732359,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-01,32.5309214583,0.000236680617986495,264.272666032692,0.0280365816603157,3.26983969557418,7773075.33974516,5143689.49438436,9761114.89801836,7082273.82748144,8580079.18833079,0,0.290588271593644,8.75676167939891e-06,2.61971668500465,0.00067069028889199,0.0500849584311145,34253.1802088792,22055.2356711983,46289.2929983515,30116.3608296993,38379.0717913164,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-02,32.5646723529007,0.000225908150276314,262.944146105811,0.0272048825678638,3.20929102946931,7773107.90441751,5143949.87904336,9761114.89840748,7082276.80682947,8580079.21926091,0,0.283188820309992,8.12670216250056e-06,2.54200829905954,0.000632201616525206,0.0479201980778994,34253.4633976995,22056.4409306534,46289.2932542299,30116.6976035169,38379.0776859397,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-03,32.2308092883753,0.000213177525553043,259.403904467529,0.0261174821567292,3.11421623597103,7773140.1352268,5144205.24954101,9761114.89877482,7082279.70129579,8580079.24882031,0,0.275928169969866,7.55723595891262e-06,2.46832360728486,0.000595470557704688,0.0458375863325422,34253.7393258695,22058.3610796821,46289.2934941668,30116.8509542606,38379.0832724326,"Mobility decrease",2,0.004405897,15176115
