"province","type","t_start","t_end","Rt_mean","Rt_std","Rt_li_95","Rt_li_90","Rt_li_50","Rt_median","Rt_ui_50","Rt_ui_90","Rt_ui_95","date_start","date_end","date_mid"
"EC","cases",23,30,2.06038169136744,0.485636621932841,1.22111277047374,1.33172822239211,1.71544169012708,2.02235464790009,2.36392258978651,2.91878593370449,3.11560008684948,2020-03-28,2020-04-04,2020-04-01
"EC","cases",30,37,2.61017171294051,0.365497146552388,1.94344428446361,2.03945202236025,2.35524366636903,2.5931317319864,2.84653265862917,3.23902216861744,3.37371176665055,2020-04-04,2020-04-11,2020-04-08
"EC","cases",37,44,2.66741163177485,0.194540987495112,2.29972945497002,2.35568711204512,2.53374593885442,2.66268367218874,2.79592389563165,2.99526407768543,3.06196060333138,2020-04-11,2020-04-18,2020-04-15
"EC","cases",44,51,1.4047138349956,0.0871166538487343,1.23914171403545,1.26455631717963,1.34501433985324,1.40291333086408,1.46245073007058,1.55101315146356,1.58051757447366,2020-04-18,2020-04-25,2020-04-22
"EC","cases",51,58,1.09057928075157,0.0657644050616114,0.96547969054768,0.984707510436927,1.04553088385529,1.08925765170711,1.13418705772439,1.2009593276684,1.22318923426517,2020-04-25,2020-05-02,2020-04-29
"EC","cases",58,65,1.29004769494372,0.0696560281680245,1.15712085271199,1.17765144982189,1.2424071482331,1.28879422110571,1.33632188989415,1.40671971295441,1.43009766296221,2020-05-02,2020-05-09,2020-05-06
"EC","cases",65,72,1.61629744309117,0.0596586272432964,1.50146811972754,1.51943547973894,1.575668239329,1.61556348900992,1.65612656931809,1.7156630053029,1.73529769518612,2020-05-09,2020-05-16,2020-05-13
"EC","cases",72,79,1.22424238729659,0.041013663142543,1.14516629046481,1.15757104283688,1.19633511922443,1.22378441463249,1.25165042016131,1.29247592541445,1.3059210681231,2020-05-16,2020-05-23,2020-05-20
"EC","cases",79,86,1.51527503587519,0.0426204402359605,1.43288168164156,1.44585876825954,1.48631432881225,1.51487545676766,1.54380015903857,1.58605430814968,1.59993914255353,2020-05-23,2020-05-30,2020-05-27
"EC","cases",86,93,1.52197739030992,0.0345903952343164,1.45492910577196,1.4655316814233,1.49850588734143,1.52171534988376,1.54516323937756,1.5793169442598,1.59051481928399,2020-05-30,2020-06-06,2020-06-03
"EC","cases",93,100,1.75318385648502,0.0288690176994011,1.69705321180953,1.70597033766828,1.73362659189675,1.75302540062066,1.77256838513845,1.80093788278685,1.81021498970089,2020-06-06,2020-06-13,2020-06-10
"EC","deaths",44,51,0.830700747710879,0.4796053003069,0.171310465025751,0.226418965518629,0.478289639312434,0.740447967344717,1.0855603076041,1.74330682304082,2.00051781585195,2020-04-18,2020-04-25,2020-04-22
"EC","deaths",51,58,1.14401704036802,0.467043000991774,0.419834091180327,0.498222232348914,0.804474571851722,1.08112683692,1.41528289756767,2.00451518026404,2.224795121903,2020-04-25,2020-05-02,2020-04-29
"EC","deaths",58,65,1.62878594794671,0.49109744119478,0.813084076734296,0.913453853249811,1.27634771974641,1.57970357970211,1.92783586239706,2.51162039428502,2.72308668172504,2020-05-02,2020-05-09,2020-05-06
"EC","deaths",65,72,1.73293014692644,0.463145063215039,0.947409037019592,1.04767232099584,1.40225957518813,1.69184913148929,2.01889420113705,2.55837046036684,2.75169451890628,2020-05-09,2020-05-16,2020-05-13
"EC","deaths",72,79,1.67840734419509,0.34997212392393,1.06396628076255,1.14711827282041,1.43101411558871,1.65414627091223,1.89938039344892,2.29247165938037,2.43064502477142,2020-05-16,2020-05-23,2020-05-20
"EC","deaths",79,86,1.26456005219422,0.227121690105337,0.85920720305646,0.915562354537998,1.1048770644576,1.25098893190429,1.4094601607116,1.65985775507892,1.74700461738622,2020-05-23,2020-05-30,2020-05-27
"EC","deaths",86,93,0.709440755748494,0.162756871617727,0.427129678780927,0.464569892939128,0.593961822885718,0.697033994746727,0.811411792787796,0.996643668528678,1.06221055492353,2020-05-30,2020-06-06,2020-06-03
"EC","deaths",93,100,3.34131315543935,0.312942649343575,2.75617132131469,2.84376169676325,3.12525195570142,3.3315483287905,3.54673166197787,3.87217480234044,3.98194152146701,2020-06-06,2020-06-13,2020-06-10
"FS","cases",23,30,0.681691251786905,0.112069351448689,0.479973551542436,0.508405621911044,0.603133620634028,0.675559822451577,0.753569142041278,0.875894649128262,0.918241330961984,2020-03-28,2020-04-04,2020-04-01
"FS","cases",30,37,0.312685982717334,0.0988799897794823,0.149945082696177,0.169644831203522,0.241577649689142,0.302327153091534,0.372529265118056,0.491080103073759,0.534217855673951,2020-04-04,2020-04-11,2020-04-08
"FS","cases",37,44,0.62244637646832,0.20748212548944,0.284622119142039,0.32472526324241,0.472896384764311,0.599550805832455,0.747104742630466,0.998310601201491,1.09019333463265,2020-04-11,2020-04-18,2020-04-15
"FS","cases",44,51,1.37634782856942,0.367844429966931,0.752462165414861,0.832094430703048,1.11371882174475,1.34371998924617,1.60346950785912,2.03193858335683,2.18548265358546,2020-04-18,2020-04-25,2020-04-22
"FS","cases",51,58,1.32717903069527,0.354703515983744,0.72558112607927,0.802368599756687,1.07393221075999,1.2957167918136,1.54618699068376,1.95934939084028,2.10740823618815,2020-04-25,2020-05-02,2020-04-29
"FS","cases",58,65,1.43812969332787,0.329929578995859,0.865848020400751,0.941744257358065,1.20403871256858,1.41297955746369,1.64483839315572,2.02032776065439,2.15324046049499,2020-05-02,2020-05-09,2020-05-06
